imb_id,rearing_year,host_plant,overall_survival,stage,duration,start,end,survival,total_degree_days,event,status
13BR001,2013,BRRA,Y,second,4,2013-06-13,2013-06-17,TRUE,18.510897435897437,progression3,1
13BR001,2013,BRRA,Y,third,5,2013-06-17,2013-06-22,TRUE,23.772563596491228,progression4,1
13BR002,2013,BRRA,Y,first,5,2013-06-12,2013-06-17,TRUE,20.61889743589744,progression2,1
13BR002,2013,BRRA,Y,second,4,2013-06-17,2013-06-21,TRUE,20.028563596491228,progression3,1
13BR003a,2013,BRRA,Y,first,4,2013-06-11,2013-06-15,TRUE,14.335564102564105,progression2,1
13BR003a,2013,BRRA,Y,second,4,2013-06-15,2013-06-19,TRUE,21.779605263157897,progression3,1
13BR003b,2013,BRRA,Y,first,4,2013-06-12,2013-06-16,TRUE,15.62723076923077,progression2,1
13BR003b,2013,BRRA,Y,second,3,2013-06-16,2013-06-19,TRUE,18.004605263157895,progression3,1
13BR004,2013,BRRA,Y,second,4,2013-06-13,2013-06-17,TRUE,18.510897435897437,progression3,1
13SI001,2013,SIAL,Y,first,6,2013-06-11,2013-06-17,TRUE,23.768897435897436,progression2,1
13SI002,2013,SIAL,Y,second,4,2013-06-15,2013-06-19,TRUE,21.779605263157897,progression3,1
13SI004,2013,SIAL,Y,first,4,2013-06-15,2013-06-19,TRUE,21.779605263157897,progression2,1
13SI005,2013,SIAL,N,first,3,2013-06-16,2013-06-19,TRUE,18.004605263157895,progression2,1
13SI005,2013,SIAL,N,second,4,2013-06-19,2013-06-23,FALSE,20.992958333333338,death,1
13SI006,2013,SIAL,Y,third,4,2013-06-17,2013-06-21,TRUE,20.028563596491228,progression4,1
13SI007,2013,SIAL,Y,first,4,2013-06-15,2013-06-19,TRUE,21.779605263157897,progression2,1
13SI008,2013,SIAL,Y,third,4,2013-06-14,2013-06-18,TRUE,21.019669365722,progression4,1
13SI008,2013,SIAL,Y,fourth,1,2013-06-18,2013-06-19,TRUE,8.571271929824562,progression5,1
13SI008,2013,SIAL,Y,fifth,6,2013-06-19,2013-06-25,TRUE,29.33508908393866,progression6,1
13SI009,2013,SIAL,Y,second,7,2013-06-12,2013-06-19,TRUE,29.190169365722,progression3,1
13SI010,2013,SIAL,Y,first,4,2013-06-13,2013-06-17,TRUE,18.510897435897437,progression2,1
13SI011,2013,SIAL,Y,first,5,2013-06-12,2013-06-17,TRUE,20.61889743589744,progression2,1
13SI011,2013,SIAL,Y,second,2,2013-06-17,2013-06-19,TRUE,13.562938596491229,progression3,1
13SI012,2013,SIAL,Y,first,5,2013-06-12,2013-06-17,TRUE,20.61889743589744,progression2,1
13SI013,2013,SIAL,Y,second,5,2013-06-12,2013-06-17,TRUE,20.61889743589744,progression3,1
13SI014,2013,SIAL,NA,first,3,2013-06-12,2013-06-15,TRUE,11.185564102564104,progression2,1
13SI014,2013,SIAL,NA,second,2,2013-06-15,2013-06-17,TRUE,13.208333333333334,progression3,1
13SI014,2013,SIAL,NA,third,2,2013-06-17,2013-06-19,TRUE,13.562938596491229,progression4,1
13SI015,2013,SIAL,Y,first,4,2013-06-13,2013-06-17,TRUE,18.510897435897437,progression2,1
13SI015,2013,SIAL,Y,second,2,2013-06-17,2013-06-19,TRUE,13.562938596491229,progression3,1
13SI016,2013,SIAL,Y,second,2,2013-06-15,2013-06-17,TRUE,13.208333333333334,progression3,1
13SI016,2013,SIAL,Y,third,2,2013-06-17,2013-06-19,TRUE,13.562938596491229,progression4,1
13SI017,2013,SIAL,Y,third,1,2013-06-16,2013-06-17,TRUE,9.433333333333334,progression4,1
13SI018,2013,SIAL,NA,first,4,2013-06-13,2013-06-17,TRUE,18.510897435897437,progression2,1
13SI018,2013,SIAL,NA,second,2,2013-06-17,2013-06-19,TRUE,13.562938596491229,progression3,1
13SI021,2013,SIAL,Y,first,6,2013-06-13,2013-06-19,TRUE,27.082169365722,progression2,1
13SI022,2013,SIAL,Y,fourth,1,2013-06-16,2013-06-17,TRUE,9.433333333333334,progression5,1
13SI022,2013,SIAL,Y,fifth,5,2013-06-17,2013-06-22,TRUE,23.772563596491228,progression6,1
13SI023,2013,SIAL,Y,second,6,2013-06-12,2013-06-18,TRUE,24.961002699055335,progression3,1
13SI023,2013,SIAL,Y,third,1,2013-06-18,2013-06-19,TRUE,8.571271929824562,progression4,1
13SI024,2013,SIAL,Y,first,5,2013-06-14,2013-06-19,TRUE,25.248836032388667,progression2,1
13SI025,2013,SIAL,Y,third,2,2013-06-17,2013-06-19,TRUE,13.562938596491229,progression4,1
13SI025,2013,SIAL,Y,fourth,2,2013-06-19,2013-06-21,TRUE,10.694791666666664,progression5,1
13SI025,2013,SIAL,Y,fifth,4,2013-06-21,2013-06-25,TRUE,21.818422417271993,progression6,1
13SI028,2013,SIAL,Y,first,4,2013-06-15,2013-06-19,TRUE,21.779605263157897,progression2,1
13SI030,2013,SIAL,N,first,5,2013-06-14,2013-06-19,TRUE,25.248836032388667,progression2,1
13SI030,2013,SIAL,N,second,4,2013-06-19,2013-06-23,FALSE,20.992958333333338,death,1
13SI031,2013,SIAL,Y,first,3,2013-06-15,2013-06-18,TRUE,17.55043859649123,progression2,1
14BR001,2014,BRRA,Y,second,3,2014-06-06,2014-06-09,TRUE,16.992833333333333,progression3,1
14BR001,2014,BRRA,Y,third,2,2014-06-09,2014-06-11,TRUE,11.714166666666667,progression4,1
14BR001,2014,BRRA,Y,fourth,7,2014-06-11,2014-06-18,TRUE,25.096217486217487,progression5,1
14BR001,2014,BRRA,Y,fifth,6,2014-06-18,2014-06-24,TRUE,27.00066287878788,progression6,1
14BR001,2014,BRRA,Y,pupa,336,2014-06-24,2015-05-26,TRUE,669.9170636349992,progression7,1
14BR002,2014,BRRA,Y,second,2,2014-06-06,2014-06-08,TRUE,11.863666666666669,progression3,1
14BR002,2014,BRRA,Y,third,2,2014-06-08,2014-06-10,TRUE,13.254738095238094,progression4,1
14BR002,2014,BRRA,Y,fourth,12,2014-06-10,2014-06-22,TRUE,43.549410126910125,progression5,1
14BR002,2014,BRRA,Y,fifth,2,2014-06-22,2014-06-24,TRUE,12.759375,progression6,1
14BR002,2014,BRRA,Y,pupa,347,2014-06-24,2015-06-06,TRUE,706.6852997923687,progression7,1
14BR003,2014,BRRA,Y,fifth,5,2014-06-04,2014-06-09,TRUE,23.181375000000003,progression6,1
14BR003,2014,BRRA,Y,pupa,363,2014-06-09,2015-06-07,TRUE,764.9430432526123,progression7,1
14BR004,2014,BRRA,Y,third,2,2014-06-06,2014-06-08,TRUE,11.863666666666669,progression4,1
14BR004,2014,BRRA,Y,fourth,3,2014-06-08,2014-06-11,TRUE,15.786166666666666,progression5,1
14BR004,2014,BRRA,Y,fifth,9,2014-06-11,2014-06-20,TRUE,33.02917203167203,progression6,1
14BR004,2014,BRRA,Y,pupa,364,2014-06-20,2015-06-19,TRUE,781.2715635286324,progression7,1
14BR005,2014,BRRA,Y,third,1,2014-06-06,2014-06-07,TRUE,7.791666666666668,progression4,1
14BR005,2014,BRRA,Y,fourth,4,2014-06-07,2014-06-11,TRUE,20.061166666666665,progression5,1
14BR005,2014,BRRA,Y,fifth,9,2014-06-11,2014-06-20,TRUE,33.02917203167203,progression6,1
14BR005,2014,BRRA,Y,pupa,346,2014-06-20,2015-06-01,TRUE,701.4053926305651,progression7,1
14BR006,2014,BRRA,Y,fourth,1,2014-06-06,2014-06-07,TRUE,7.791666666666668,progression5,1
14BR006,2014,BRRA,Y,fifth,5,2014-06-07,2014-06-12,TRUE,24.102833333333333,progression6,1
14BR006,2014,BRRA,Y,pupa,335,2014-06-12,2015-05-13,TRUE,681.9178499201508,progression7,1
14BR007,2014,BRRA,Y,third,1,2014-06-05,2014-06-06,TRUE,6.758333333333335,progression4,1
14BR007,2014,BRRA,Y,fourth,4,2014-06-06,2014-06-10,TRUE,21.04640476190476,progression5,1
14BR007,2014,BRRA,Y,fifth,7,2014-06-10,2014-06-17,TRUE,25.437288914788915,progression6,1
14BR007,2014,BRRA,Y,pupa,345,2014-06-17,2015-05-28,TRUE,700.2424680551404,progression7,1
14BR008,2014,BRRA,Y,fourth,3,2014-06-06,2014-06-09,TRUE,16.992833333333333,progression5,1
14BR008,2014,BRRA,Y,fifth,7,2014-06-09,2014-06-16,TRUE,27.10395558145558,progression6,1
14BR008,2014,BRRA,Y,pupa,344,2014-06-16,2015-05-26,TRUE,697.5343130522486,progression7,1
14BR009,2014,BRRA,Y,third,2,2014-06-06,2014-06-08,TRUE,11.863666666666669,progression4,1
14BR009,2014,BRRA,Y,fourth,4,2014-06-08,2014-06-12,TRUE,19.82783333333333,progression5,1
14BR009,2014,BRRA,Y,fifth,9,2014-06-12,2014-06-21,TRUE,33.093576793576794,progression6,1
14BR009,2014,BRRA,Y,pupa,345,2014-06-21,2015-06-01,TRUE,697.0512259638983,progression7,1
14BR011,2014,BRRA,Y,fourth,1,2014-06-06,2014-06-07,TRUE,7.791666666666668,progression5,1
14BR011,2014,BRRA,Y,fifth,5,2014-06-07,2014-06-12,TRUE,24.102833333333333,progression6,1
14BR011,2014,BRRA,Y,pupa,337,2014-06-12,2015-05-15,TRUE,683.9157822509778,progression7,1
14BR012,2014,BRRA,Y,second,6,2014-06-10,2014-06-16,TRUE,21.974788914788917,progression3,1
14BR012,2014,BRRA,Y,third,6,2014-06-16,2014-06-22,TRUE,24.01308275058275,progression4,1
14BR012,2014,BRRA,Y,fourth,4,2014-06-22,2014-06-26,TRUE,22.583819444444444,progression5,1
14BR012,2014,BRRA,Y,fifth,7,2014-06-26,2014-07-03,TRUE,43.462129153352564,progression6,1
14BR012,2014,BRRA,Y,pupa,350,2014-07-03,2015-06-18,TRUE,712.9992260419466,progression7,1
14BR013,2014,BRRA,Y,fifth,9,2014-06-11,2014-06-20,TRUE,33.02917203167203,progression6,1
14BR015,2014,BRRA,Y,second,2,2014-06-10,2014-06-12,TRUE,10.626666666666669,progression3,1
14BR015,2014,BRRA,Y,third,8,2014-06-12,2014-06-20,TRUE,30.49774346024346,progression4,1
14BR015,2014,BRRA,Y,fourth,5,2014-06-20,2014-06-25,TRUE,25.589375,progression5,1
14BR015,2014,BRRA,Y,fifth,6,2014-06-25,2014-07-01,TRUE,36.41296248668589,progression6,1
14BR015,2014,BRRA,Y,pupa,362,2014-07-01,2015-06-28,TRUE,799.8750127552333,progression7,1
14BR016,2014,BRRA,Y,third,6,2014-06-12,2014-06-18,TRUE,22.564788914788913,progression4,1
14BR016,2014,BRRA,Y,fourth,6,2014-06-18,2014-06-24,TRUE,27.00066287878788,progression5,1
14BR016,2014,BRRA,Y,fifth,7,2014-06-24,2014-07-01,TRUE,41.697337486685896,progression6,1
14BR016,2014,BRRA,Y,pupa,336,2014-07-01,2015-06-02,TRUE,655.6655264082469,progression7,1
14BR017,2014,BRRA,Y,third,4,2014-06-16,2014-06-20,TRUE,17.546416083916085,progression4,1
14BR017,2014,BRRA,Y,fourth,5,2014-06-20,2014-06-25,TRUE,25.589375,progression5,1
14BR017,2014,BRRA,Y,fifth,7,2014-06-25,2014-07-02,TRUE,44.06712915335256,progression6,1
14BR017,2014,BRRA,Y,pupa,332,2014-07-02,2015-05-30,TRUE,640.4711503819744,progression7,1
14BR018,2014,BRRA,Y,third,7,2014-06-13,2014-06-20,TRUE,26.45607679357679,progression4,1
14BR018,2014,BRRA,Y,fourth,5,2014-06-20,2014-06-25,TRUE,25.589375,progression5,1
14BR018,2014,BRRA,Y,fifth,6,2014-06-25,2014-07-01,TRUE,36.41296248668589,progression6,1
14BR018,2014,BRRA,Y,pupa,321,2014-07-01,2015-05-18,TRUE,619.8583386666859,progression7,1
14BR020,2014,BRRA,Y,third,6,2014-06-12,2014-06-18,TRUE,22.564788914788913,progression4,1
14BR020,2014,BRRA,Y,fourth,2,2014-06-18,2014-06-20,TRUE,11.645454545454545,progression5,1
14BR020,2014,BRRA,Y,fifth,11,2014-06-20,2014-07-01,TRUE,56.12233748668589,progression6,1
14BR020,2014,BRRA,Y,pupa,349,2014-07-01,2015-06-15,TRUE,716.6950593752799,progression7,1
14BR021,2014,BRRA,Y,second,4,2014-06-12,2014-06-16,TRUE,15.389788914788914,progression3,1
14BR021,2014,BRRA,Y,third,7,2014-06-16,2014-06-23,TRUE,27.61724941724942,progression4,1
14BR021,2014,BRRA,Y,fourth,4,2014-06-23,2014-06-27,TRUE,23.884414682539685,progression5,1
14BR021,2014,BRRA,Y,fifth,8,2014-06-27,2014-07-05,TRUE,47.20101804224145,progression6,1
14BR023,2014,BRRA,Y,fourth,7,2014-06-13,2014-06-20,TRUE,26.45607679357679,progression5,1
14BR023,2014,BRRA,Y,fifth,7,2014-06-20,2014-06-27,TRUE,34.70524801587302,progression6,1
14BR023,2014,BRRA,Y,pupa,341,2014-06-27,2015-06-03,TRUE,677.3332111171551,progression7,1
14BR024,2014,BRRA,Y,fourth,7,2014-06-11,2014-06-18,TRUE,25.096217486217487,progression5,1
14BR024,2014,BRRA,Y,fifth,8,2014-06-18,2014-06-26,TRUE,36.82510732323232,progression6,1
14BR024,2014,BRRA,Y,pupa,342,2014-06-26,2015-06-03,TRUE,681.2776555615995,progression7,1
14BR027,2014,BRRA,Y,first,9,2014-06-13,2014-06-22,TRUE,32.92274346024346,progression2,1
14BR027,2014,BRRA,Y,second,3,2014-06-22,2014-06-25,TRUE,18.639375,progression3,1
14BR027,2014,BRRA,Y,third,4,2014-06-25,2014-06-29,TRUE,23.85462915335256,progression4,1
14BR027,2014,BRRA,Y,fourth,4,2014-06-29,2014-07-03,TRUE,29.895192307692312,progression5,1
14BR027,2014,BRRA,Y,fifth,7,2014-07-03,2014-07-10,TRUE,48.3375,progression6,1
14BR027,2014,BRRA,Y,pupa,321,2014-07-10,2015-05-27,TRUE,581.7508664991905,progression7,1
14BR028,2014,BRRA,Y,first,4,2014-06-16,2014-06-20,TRUE,17.546416083916085,progression2,1
14BR028,2014,BRRA,Y,second,8,2014-06-20,2014-06-28,TRUE,39.15631184566025,progression3,1
14BR028,2014,BRRA,Y,third,3,2014-06-28,2014-07-01,TRUE,21.417089470812876,progression4,1
14BR028,2014,BRRA,Y,fourth,5,2014-07-01,2014-07-06,TRUE,35.66666666666667,progression5,1
14BR028,2014,BRRA,Y,fifth,5,2014-07-06,2014-07-11,TRUE,42.625,progression6,1
14BR028,2014,BRRA,Y,pupa,339,2014-07-11,2015-06-15,TRUE,652.54505937528,progression7,1
14BR029,2014,BRRA,Y,first,8,2014-06-12,2014-06-20,TRUE,30.49774346024346,progression2,1
14BR029,2014,BRRA,Y,second,4,2014-06-20,2014-06-24,TRUE,19.709375,progression3,1
14BR029,2014,BRRA,Y,third,4,2014-06-24,2014-06-28,TRUE,24.73131184566025,progression4,1
14BR029,2014,BRRA,Y,fourth,4,2014-06-28,2014-07-02,TRUE,29.071256137479544,progression5,1
14BR029,2014,BRRA,Y,fifth,7,2014-07-02,2014-07-09,TRUE,48.858333333333334,progression6,1
14BR029,2014,BRRA,Y,pupa,327,2014-07-09,2015-06-01,TRUE,601.0519945378186,progression7,1
14BR030,2014,BRRA,Y,first,4,2014-06-16,2014-06-20,TRUE,17.546416083916085,progression2,1
14BR030,2014,BRRA,Y,second,7,2014-06-20,2014-06-27,TRUE,34.70524801587302,progression3,1
14BR030,2014,BRRA,Y,third,4,2014-06-27,2014-07-01,TRUE,26.588518042241446,progression4,1
14BR030,2014,BRRA,Y,fourth,5,2014-07-01,2014-07-06,TRUE,35.66666666666667,progression5,1
14BR030,2014,BRRA,Y,fifth,5,2014-07-06,2014-07-11,TRUE,42.625,progression6,1
14BR031,2014,BRRA,Y,first,4,2014-06-16,2014-06-20,TRUE,17.546416083916085,progression2,1
14BR031,2014,BRRA,Y,second,10,2014-06-20,2014-06-30,TRUE,47.96400415335256,progression3,1
14BR031,2014,BRRA,Y,third,1,2014-06-30,2014-07-01,TRUE,12.558333333333335,progression4,1
14BR031,2014,BRRA,Y,fourth,5,2014-07-01,2014-07-06,TRUE,35.66666666666667,progression5,1
14BR031,2014,BRRA,Y,fifth,5,2014-07-06,2014-07-11,TRUE,42.625,progression6,1
14BR034,2014,BRRA,Y,second,8,2014-06-16,2014-06-24,TRUE,32.901624417249415,progression3,1
14BR034,2014,BRRA,Y,third,5,2014-06-24,2014-06-29,TRUE,29.13900415335256,progression4,1
14BR034,2014,BRRA,Y,fourth,3,2014-06-29,2014-07-02,TRUE,24.620192307692314,progression5,1
14BR034,2014,BRRA,Y,fifth,7,2014-07-02,2014-07-09,TRUE,48.858333333333334,progression6,1
14BR034,2014,BRRA,Y,pupa,353,2014-07-09,2015-06-27,TRUE,736.589785482506,progression7,1
14BR035,2014,BRRA,Y,first,2,2014-06-11,2014-06-13,TRUE,10.888479853479854,progression2,1
14BR035,2014,BRRA,Y,second,9,2014-06-13,2014-06-22,TRUE,32.92274346024346,progression3,1
14BR035,2014,BRRA,Y,third,5,2014-06-22,2014-06-27,TRUE,27.755248015873015,progression4,1
14BR035,2014,BRRA,Y,fourth,5,2014-06-27,2014-07-02,TRUE,34.242684708908115,progression5,1
14BR035,2014,BRRA,Y,fifth,6,2014-07-02,2014-07-08,TRUE,44.23106060606061,progression6,1
14BR035,2014,BRRA,Y,pupa,325,2014-07-08,2015-05-29,TRUE,599.847782083606,progression7,1
14BR036,2014,BRRA,Y,first,2,2014-06-11,2014-06-13,TRUE,10.888479853479854,progression2,1
14BR036,2014,BRRA,Y,second,9,2014-06-13,2014-06-22,TRUE,32.92274346024346,progression3,1
14BR036,2014,BRRA,Y,third,4,2014-06-22,2014-06-26,TRUE,22.583819444444444,progression4,1
14BR036,2014,BRRA,Y,fourth,5,2014-06-26,2014-07-01,TRUE,30.532962486685893,progression5,1
14BR036,2014,BRRA,Y,fifth,6,2014-07-01,2014-07-07,TRUE,45.13939393939394,progression6,1
14BR036,2014,BRRA,Y,pupa,329,2014-07-07,2015-06-01,TRUE,617.7747218105458,progression7,1
