imb_id,start,end,state,survival,start_days,end_days
13BR001,2013-06-13,2013-06-17,2,TRUE,2,6
13BR001,2013-06-17,2013-06-22,3,TRUE,6,11
13BR002,2013-06-12,2013-06-17,1,TRUE,1,6
13BR002,2013-06-17,2013-06-21,2,TRUE,6,10
13BR003a,2013-06-11,2013-06-15,1,TRUE,0,4
13BR003a,2013-06-15,2013-06-19,2,TRUE,4,8
13BR003b,2013-06-12,2013-06-16,1,TRUE,1,5
13BR003b,2013-06-16,2013-06-19,2,TRUE,5,8
13BR004,2013-06-13,2013-06-17,2,TRUE,2,6
13SI001,2013-06-11,2013-06-17,1,TRUE,0,6
13SI002,2013-06-15,2013-06-19,2,TRUE,4,8
13SI004,2013-06-15,2013-06-19,1,TRUE,4,8
13SI005,2013-06-16,2013-06-19,1,TRUE,5,8
13SI005,2013-06-19,2013-06-23,2,FALSE,8,12
13SI006,2013-06-17,2013-06-21,3,TRUE,6,10
13SI007,2013-06-15,2013-06-19,1,TRUE,4,8
13SI008,2013-06-14,2013-06-18,3,TRUE,3,7
13SI008,2013-06-18,2013-06-19,4,TRUE,7,8
13SI008,2013-06-19,2013-06-25,5,TRUE,8,14
13SI009,2013-06-12,2013-06-19,2,TRUE,1,8
13SI010,2013-06-13,2013-06-17,1,TRUE,2,6
13SI011,2013-06-12,2013-06-17,1,TRUE,1,6
13SI011,2013-06-17,2013-06-19,2,TRUE,6,8
13SI012,2013-06-12,2013-06-17,1,TRUE,1,6
13SI013,2013-06-12,2013-06-17,2,TRUE,1,6
13SI014,2013-06-12,2013-06-15,1,TRUE,1,4
13SI014,2013-06-15,2013-06-17,2,TRUE,4,6
13SI014,2013-06-17,2013-06-19,3,TRUE,6,8
13SI015,2013-06-13,2013-06-17,1,TRUE,2,6
13SI015,2013-06-17,2013-06-19,2,TRUE,6,8
13SI016,2013-06-15,2013-06-17,2,TRUE,4,6
13SI016,2013-06-17,2013-06-19,3,TRUE,6,8
13SI017,2013-06-16,2013-06-17,3,TRUE,5,6
13SI018,2013-06-13,2013-06-17,1,TRUE,2,6
13SI018,2013-06-17,2013-06-19,2,TRUE,6,8
13SI021,2013-06-13,2013-06-19,1,TRUE,2,8
13SI022,2013-06-16,2013-06-17,4,TRUE,5,6
13SI022,2013-06-17,2013-06-22,5,TRUE,6,11
13SI023,2013-06-12,2013-06-18,2,TRUE,1,7
13SI023,2013-06-18,2013-06-19,3,TRUE,7,8
13SI024,2013-06-14,2013-06-19,1,TRUE,3,8
13SI025,2013-06-17,2013-06-19,3,TRUE,6,8
13SI025,2013-06-19,2013-06-21,4,TRUE,8,10
13SI025,2013-06-21,2013-06-25,5,TRUE,10,14
13SI028,2013-06-15,2013-06-19,1,TRUE,4,8
13SI030,2013-06-14,2013-06-19,1,TRUE,3,8
13SI030,2013-06-19,2013-06-23,2,FALSE,8,12
13SI031,2013-06-15,2013-06-18,1,TRUE,4,7
14BR001,2014-06-06,2014-06-09,2,TRUE,360,363
14BR001,2014-06-09,2014-06-11,3,TRUE,363,365
14BR001,2014-06-11,2014-06-18,4,TRUE,365,372
14BR001,2014-06-18,2014-06-24,5,TRUE,372,378
14BR001,2014-06-24,2015-05-26,6,TRUE,378,714
14BR002,2014-06-06,2014-06-08,2,TRUE,360,362
14BR002,2014-06-08,2014-06-10,3,TRUE,362,364
14BR002,2014-06-10,2014-06-22,4,TRUE,364,376
14BR002,2014-06-22,2014-06-24,5,TRUE,376,378
14BR002,2014-06-24,2015-06-06,6,TRUE,378,725
14BR003,2014-06-04,2014-06-09,5,TRUE,358,363
14BR003,2014-06-09,2015-06-07,6,TRUE,363,726
14BR004,2014-06-06,2014-06-08,3,TRUE,360,362
14BR004,2014-06-08,2014-06-11,4,TRUE,362,365
14BR004,2014-06-11,2014-06-20,5,TRUE,365,374
14BR004,2014-06-20,2015-06-19,6,TRUE,374,738
14BR005,2014-06-06,2014-06-07,3,TRUE,360,361
14BR005,2014-06-07,2014-06-11,4,TRUE,361,365
14BR005,2014-06-11,2014-06-20,5,TRUE,365,374
14BR005,2014-06-20,2015-06-01,6,TRUE,374,720
14BR006,2014-06-06,2014-06-07,4,TRUE,360,361
14BR006,2014-06-07,2014-06-12,5,TRUE,361,366
14BR006,2014-06-12,2015-05-13,6,TRUE,366,701
14BR007,2014-06-05,2014-06-06,3,TRUE,359,360
14BR007,2014-06-06,2014-06-10,4,TRUE,360,364
14BR007,2014-06-10,2014-06-17,5,TRUE,364,371
14BR007,2014-06-17,2015-05-28,6,TRUE,371,716
14BR008,2014-06-06,2014-06-09,4,TRUE,360,363
14BR008,2014-06-09,2014-06-16,5,TRUE,363,370
14BR008,2014-06-16,2015-05-26,6,TRUE,370,714
14BR009,2014-06-06,2014-06-08,3,TRUE,360,362
14BR009,2014-06-08,2014-06-12,4,TRUE,362,366
14BR009,2014-06-12,2014-06-21,5,TRUE,366,375
14BR009,2014-06-21,2015-06-01,6,TRUE,375,720
14BR011,2014-06-06,2014-06-07,4,TRUE,360,361
14BR011,2014-06-07,2014-06-12,5,TRUE,361,366
14BR011,2014-06-12,2015-05-15,6,TRUE,366,703
14BR012,2014-06-10,2014-06-16,2,TRUE,364,370
14BR012,2014-06-16,2014-06-22,3,TRUE,370,376
14BR012,2014-06-22,2014-06-26,4,TRUE,376,380
14BR012,2014-06-26,2014-07-03,5,TRUE,380,387
14BR012,2014-07-03,2015-06-18,6,TRUE,387,737
14BR013,2014-06-11,2014-06-20,5,TRUE,365,374
14BR015,2014-06-10,2014-06-12,2,TRUE,364,366
14BR015,2014-06-12,2014-06-20,3,TRUE,366,374
14BR015,2014-06-20,2014-06-25,4,TRUE,374,379
14BR015,2014-06-25,2014-07-01,5,TRUE,379,385
14BR015,2014-07-01,2015-06-28,6,TRUE,385,747
14BR016,2014-06-12,2014-06-18,3,TRUE,366,372
14BR016,2014-06-18,2014-06-24,4,TRUE,372,378
14BR016,2014-06-24,2014-07-01,5,TRUE,378,385
14BR016,2014-07-01,2015-06-02,6,TRUE,385,721
14BR017,2014-06-16,2014-06-20,3,TRUE,370,374
14BR017,2014-06-20,2014-06-25,4,TRUE,374,379
14BR017,2014-06-25,2014-07-02,5,TRUE,379,386
14BR017,2014-07-02,2015-05-30,6,TRUE,386,718
14BR018,2014-06-13,2014-06-20,3,TRUE,367,374
14BR018,2014-06-20,2014-06-25,4,TRUE,374,379
14BR018,2014-06-25,2014-07-01,5,TRUE,379,385
14BR018,2014-07-01,2015-05-18,6,TRUE,385,706
