IMB ID,REARING YEAR,HOST PLANT,COLLECTION SITE,COLLECTION AREA,COLLECTION DATE,COLLECTION STAGE,HATCH DATE,Date of 2nd instar,Date 3rd instar,Date 4th instar,Date fifth instar,PUPATION DATE,LARVAL DAYS,SURVIVE TO PUPATION,STAGE AT DEATH,REARING NOTES,RELEASE YEAR,ECLOSURE DATE,RELEASE DATE,RELEASE SITE,RELEASE AREA,SEX,LAT.,LONG.,RELEASE NOTES
13BR001,2013,BRRA,South Beach,SouthBeach,6/10/2013,1st,NA,6/13/2013,6/17/2013,6/22/2013,,6/26/2013,#VALUE!,Y,,,,,,,,,,,
13BR002,2013,BRRA,NA,NA,6/11/2013,egg,6/12/2013,6/17/2013,6/21/2013,,,6/29/2013,19,Y,,,,,,,,,,,
13BR003a,2013,BRRA,South Beach,SouthBeach,6/10/2013,egg,6/11/2013,6/15/2013,6/19/2013,,,6/29/2013,18,Y,,,,,,,,,,,
13BR003b,2013,BRRA,South Beach,SouthBeach,6/11/2013,egg,6/12/2013,6/16/2013,6/19/2013,,,6/29/2013,19,Y,,,,,,,,,,,
13BR004,2013,BRRA,Redoubt,Redoubt,6/10/2013,1st,NA,6/13/2013,6/17/2013,,,6/29/2013,#VALUE!,Y,,,,,,,,,,,
13BR005,2013,BRRA,,SouthBeach,6/10/2013,egg,,,,,,,,,,Same pant as 13BR003, silver egg- not imb,,,,,,,,
13BR006,2013,BRRA,South Beach,SouthBeach,,,,,,,,7/5/2013,,Y,,,,,,,,,,,
13BR007,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR008,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR009,2013,BRRA,South Beach,SouthBeach,,,,,,,,7/8/2013,,Y,,,,,,,,,,,
13BR010,2013,BRRA,South Beach,SouthBeach,,,,,,,,7/7/2013,,Y,,,,,,,,,,,
13BR011,2013,BRRA,South Beach,SouthBeach,,,,,,,,7/3/2013,,Y,,,,,,,,,,,
13BR012,2013,BRRA,Dunes,Dunes,,,,,,,,7/4/2013,,Y,,,,,,,,,,,
13BR013,2013,BRRA,South Beach,SouthBeach,,,,,,,,7/8/2013,,Y,,,,,,,,,,,
13BR014,2013,BRRA,South Beach,SouthBeach,,,,,,,,7/2/2013,,Y,,,,,,,,,,,
13BR015,2013,BRRA,,,,,,,,,,,,,,died,,,,,,,,,
13BR016,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR017,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR018,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR019,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR020,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR021,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR022,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR023,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR024,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR025,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR026,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR027,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR028,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR029,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR030,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR031,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR032,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR033,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR034,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR035,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR036,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR037,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR038,2013,BRRA,,,,,,,,,,,,,,,,,,,,,,,
13BR039,2013,BRRA,Dunes,Dunes,,,,,,,,7/5/2013,,Y,,,,,,,,,,,
13SI001,2013,SIAL,Dunes,Picketts Lane,6/8/2013,egg,6/11/2013,6/17/2013,,,,7/1/2013,20,Y,,,,,,,,,,,
13SI002,2013,SIAL,Dunes,Dunes,6/11/2013,1st,NA,6/15/2013,6/19/2013,,,6/29/2013,#VALUE!,Y,,,,,,,,,,,
13SI003,2013,SIAL,,,6/11/2013,,,,,,,,0,,,mix up,,,,,,,,,
