imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
13BR001,2013,BRRA,2013-06-10,first,NA,2013-06-13,2013-06-17,2013-06-22,NA,2013-06-26,NA,NA,NA,NA,NA
13BR004,2013,BRRA,2013-06-10,first,NA,2013-06-13,2013-06-17,NA,NA,2013-06-29,NA,NA,NA,NA,NA
13SI002,2013,SIAL,2013-06-11,first,NA,2013-06-15,2013-06-19,NA,NA,2013-06-29,NA,NA,NA,NA,NA
13SI006,2013,SIAL,2013-06-11,second,NA,NA,2013-06-17,2013-06-21,NA,2013-06-25,NA,NA,NA,NA,NA
13SI008,2013,SIAL,2013-06-11,second,NA,NA,2013-06-14,2013-06-18,2013-06-19,2013-06-25,NA,NA,NA,NA,NA
13SI009,2013,SIAL,2013-06-11,first,NA,2013-06-12,2013-06-19,NA,NA,2013-06-27,NA,NA,NA,NA,NA
13SI013,2013,SIAL,2013-06-11,first,NA,2013-06-12,2013-06-17,NA,NA,2013-06-29,NA,NA,NA,NA,NA
13SI016,2013,SIAL,2013-06-11,first,NA,2013-06-15,2013-06-17,2013-06-19,NA,2013-06-26,NA,NA,NA,NA,NA
13SI017,2013,SIAL,2013-06-11,second,NA,NA,2013-06-16,2013-06-17,NA,2013-06-25,NA,NA,NA,NA,NA
13SI022,2013,SIAL,2013-06-11,third,NA,NA,NA,2013-06-16,2013-06-17,2013-06-22,NA,NA,NA,NA,NA
13SI023,2013,SIAL,2013-06-11,first,NA,2013-06-12,2013-06-18,2013-06-19,NA,2013-06-27,NA,NA,NA,NA,NA
13SI025,2013,SIAL,2013-06-11,second,NA,NA,2013-06-17,2013-06-19,2013-06-21,2013-06-25,NA,NA,NA,NA,NA
13SI029,2013,SIAL,2013-06-14,first,NA,2013-06-18,NA,NA,NA,2013-07-03,NA,NA,NA,NA,NA
14BR001,2014,BRRA,2014-06-02,first,NA,2014-06-06,2014-06-09,2014-06-11,2014-06-18,2014-06-24,NA,2015,2015-05-26,2015-05-26,NA
14BR002,2014,BRRA,2014-06-02,first,NA,2014-06-06,2014-06-08,2014-06-10,2014-06-22,2014-06-24,NA,2015,2015-06-06,2015-06-06,NA
14BR003,2014,BRRA,2014-06-02,fourth,NA,NA,NA,NA,2014-06-04,2014-06-09,NA,2015,2015-06-07,2015-06-07,NA
14BR004,2014,BRRA,2014-06-03,second,NA,NA,2014-06-06,2014-06-08,2014-06-11,2014-06-20,NA,2015,2015-06-19,2015-06-20,NA
14BR005,2014,BRRA,2014-06-03,second,NA,NA,2014-06-06,2014-06-07,2014-06-11,2014-06-20,NA,2015,2015-06-01,2015-06-02,NA
14BR006,2014,BRRA,2014-06-03,third,NA,NA,NA,2014-06-06,2014-06-07,2014-06-12,NA,2015,2015-05-13,2015-05-13,NA
14BR007,2014,BRRA,2014-06-03,second,NA,NA,2014-06-05,2014-06-06,2014-06-10,2014-06-17,NA,2015,2015-05-28,2015-05-28,NA
14BR008,2014,BRRA,2014-06-04,third,NA,NA,NA,2014-06-06,2014-06-09,2014-06-16,NA,2015,2015-05-26,2015-05-26,NA
14BR009,2014,BRRA,2014-06-05,second,NA,NA,2014-06-06,2014-06-08,2014-06-12,2014-06-21,NA,2015,2015-06-01,2015-06-02,NA
14BR010,2014,BRRA,2014-06-05,first,NA,NA,NA,NA,NA,NA,first,NA,NA,NA,NA
14BR011,2014,BRRA,2014-06-03,third,NA,NA,NA,2014-06-06,2014-06-07,2014-06-12,NA,2015,2015-05-15,2015-05-15,NA
14BR012,2014,BRRA,2014-06-09,first,NA,2014-06-10,2014-06-16,2014-06-22,2014-06-26,2014-07-03,NA,2015,2015-06-18,2015-06-18,NA
14BR013,2014,BRRA,2014-06-09,fourth,NA,NA,NA,NA,2014-06-11,2014-06-20,NA,NA,NA,NA,NA
14BR014,2014,BRRA,2014-06-09,first,NA,NA,NA,NA,NA,NA,first,NA,NA,NA,NA
14BR015,2014,BRRA,2014-06-09,first,NA,2014-06-10,2014-06-12,2014-06-20,2014-06-25,2014-07-01,NA,2015,2015-06-28,2015-06-28,NA
14BR016,2014,BRRA,2014-06-09,second,NA,NA,2014-06-12,2014-06-18,2014-06-24,2014-07-01,NA,2015,2015-06-02,2015-06-02,NA
14BR017,2014,BRRA,2014-06-09,second,NA,NA,2014-06-16,2014-06-20,2014-06-25,2014-07-02,NA,2015,2015-05-30,2015-05-30,NA
14BR018,2014,BRRA,2014-06-09,second,NA,NA,2014-06-13,2014-06-20,2014-06-25,2014-07-01,NA,2015,2015-05-18,2015-05-18,NA
14BR019,2014,BRRA,2014-06-09,third,NA,NA,NA,NA,NA,NA,third,NA,NA,NA,NA
14BR020,2014,BRRA,2014-06-09,second,NA,NA,2014-06-12,2014-06-18,2014-06-20,2014-07-01,NA,2015,2015-06-15,2015-06-15,NA
14BR021,2014,BRRA,2014-06-09,first,NA,2014-06-12,2014-06-16,2014-06-23,2014-06-27,2014-07-05,NA,NA,NA,NA,NA
14BR022,2014,BRRA,2014-06-09,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14BR023,2014,BRRA,2014-06-09,third,NA,NA,NA,2014-06-13,2014-06-20,2014-06-27,NA,2015,2015-06-03,2015-06-04,NA
14BR024,2014,BRRA,2014-06-09,third,NA,NA,NA,2014-06-11,2014-06-18,2014-06-26,NA,2015,2015-06-03,2015-06-04,NA
14BR034,2014,BRRA,2014-06-09,first,NA,2014-06-16,2014-06-24,2014-06-29,2014-07-02,2014-07-09,NA,2015,2015-06-27,2015-06-28,NA
14BR045,2014,BRRA,2014-06-18,fourth,NA,NA,NA,NA,2014-06-21,2014-06-29,NA,2015,2015-06-25,2015-06-25,NA
14BR046,2014,BRRA,2014-06-18,fourth,NA,NA,NA,NA,2014-06-22,2014-06-30,NA,2015,2015-06-05,2015-06-05,NA
14SI001a,2014,SIAL,2014-06-05,fifth,NA,NA,NA,NA,NA,2014-06-09,NA,2015,2015-06-22,2015-06-22,NA
14SI001b,2014,SIAL,2014-06-02,fourth,NA,NA,NA,NA,2014-06-05,2014-06-08,NA,2015,2015-06-06,2015-06-06,NA
14SI002,2014,SIAL,2014-06-02,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-05-14,2015-05-14,NA
14SI003,2014,SIAL,2014-06-02,fourth,NA,NA,NA,NA,2014-06-05,2014-06-07,NA,2015,2015-06-23,2015-06-23,NA
14SI004,2014,SIAL,2014-06-02,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-06-20,2015-06-20,NA
14SI005,2014,SIAL,2014-06-02,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-07-04,2015-07-05,NA
14SI006,2014,SIAL,2014-06-02,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-05-23,2015-05-24,NA
14SI007,2014,SIAL,2014-06-03,second,NA,NA,2014-06-05,2014-06-06,2014-06-10,2014-06-19,NA,2015,2015-05-28,2015-05-28,NA
14SI007b,2014,SIAL,2014-06-03,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-05-19,2015-05-19,NA
14SI008,2014,SIAL,2014-06-03,second,NA,NA,2014-06-04,2014-06-06,2014-06-08,2014-06-14,NA,2015,2015-06-11,2015-06-11,NA
14SI009,2014,SIAL,2014-06-03,second,NA,NA,NA,NA,NA,NA,third,NA,NA,NA,NA
14SI010,2014,SIAL,2014-06-04,fourth,NA,NA,NA,NA,2014-06-06,2014-06-10,NA,2015,2015-06-01,2015-06-02,NA
14SI011,2014,SIAL,2014-06-04,third,NA,NA,NA,2014-06-06,2014-06-07,2014-06-12,NA,NA,NA,NA,NA
14SI012,2014,SIAL,2014-06-04,fifth,NA,NA,NA,NA,NA,2014-06-08,NA,2015,2015-06-30,2015-06-30,NA
14SI013,2014,SIAL,2014-06-04,fourth,NA,NA,NA,NA,2014-06-06,2014-06-11,NA,2015,2015-06-01,2015-06-02,NA
14SI014,2014,SIAL,2014-06-04,second,NA,NA,2014-06-06,2014-06-09,2014-06-11,2014-06-23,NA,2015,2015-05-25,2015-05-25,NA
14SI015,2014,SIAL,2014-06-05,second,NA,NA,2014-06-07,2014-06-10,2014-06-15,2014-06-24,NA,2015,2015-06-25,2015-06-25,NA
14SI017,2014,SIAL,2014-06-06,second,NA,NA,2014-06-07,2014-06-10,2014-06-14,2014-06-22,NA,2015,2015-06-01,2015-06-02,NA
