,date,min,max,avg,range
1,2014-12-13,52,61,52.81818182,9
2,2014-12-14,48,51,49.5,3
3,2014-12-15,46,50,48.20833333,4
4,2014-12-16,50,52,50.95833333,2
5,2014-12-17,50,52,50.66666667,2
6,2014-12-18,51,54,52.20833333,3
7,2014-12-19,52,54,53.04166667,2
8,2014-12-20,53,55,53.58333333,2
9,2014-12-21,54,55,54.41666667,1
10,2014-12-22,50,54,51.33333333,4
11,2014-12-23,51,53,51.66666667,2
12,2014-12-24,50,52,51.04166667,2
13,2014-12-25,48,50,49.08333333,2
14,2014-12-26,48,50,48.95833333,2
15,2014-12-27,50,52,50.75,2
16,2014-12-28,49,50,49.83333333,1
17,2014-12-29,47,49,48.16666667,2
18,2014-12-30,42,46,43.75,4
19,2014-12-31,42,45,43.08333333,3
20,2015-01-01,42,46,43.625,4
21,2015-01-02,44,48,46.5,4
22,2015-01-03,46,48,47.04166667,2
23,2015-01-04,48,52,49.58333333,4
24,2015-01-05,51,53,51.75,2
25,2015-01-06,51,54,53.41666667,3
26,2015-01-07,49,51,50.45833333,2
27,2015-01-08,50,51,50.5,1
28,2015-01-09,49,51,49.875,2
29,2015-01-10,50,51,50.58333333,1
30,2015-01-11,51,51,51,0
31,2015-01-12,50,52,50.91666667,2
32,2015-01-13,48,51,49.75,3
33,2015-01-14,47,50,48.45833333,3
34,2015-01-15,46,52,48.5,6
35,2015-01-16,52,54,53.20833333,2
36,2015-01-17,50,53,50.91666667,3
37,2015-01-18,52,53,52.70833333,1
38,2015-01-19,50,53,51.66666667,3
39,2015-01-20,48,51,49.29166667,3
40,2015-01-21,46,49,47.83333333,3
41,2015-01-22,49,52,50.45833333,3
42,2015-01-23,52,55,53.54166667,3
43,2015-01-24,55,57,56.125,2
44,2015-01-25,53,56,54.79166667,3
45,2015-01-26,50,52,51.54166667,2
46,2015-01-27,50,54,51.41666667,4
47,2015-01-28,49,52,50.08333333,3
48,2015-01-29,48,51,49.33333333,3
49,2015-01-30,47,51,48.79166667,4
50,2015-01-31,49,50,49.58333333,1
51,2015-02-01,50,52,50.625,2
52,2015-02-02,50,52,51.41666667,2
53,2015-02-03,52,53,52.29166667,1
54,2015-02-04,51,52,51.625,1
55,2015-02-05,52,56,53.91666667,4
56,2015-02-06,56,58,56.75,2
57,2015-02-07,57,58,57.54166667,1
58,2015-02-08,56,59,57.45833333,3
59,2015-02-09,56,57,56.5,1
60,2015-02-10,56,58,56.70833333,2
61,2015-02-11,54,56,55.08333333,2
62,2015-02-12,55,56,55.45833333,1
63,2015-02-13,55,57,56.33333333,2
64,2015-02-14,53,57,55.125,4
65,2015-02-15,51,55,52.79166667,4
66,2015-02-16,51,56,53.20833333,5
67,2015-02-17,50,55,52.20833333,5
68,2015-02-18,48,55,51.5,7
69,2015-02-19,51,54,52.66666667,3
70,2015-02-20,52,54,53.04166667,2
71,2015-02-21,50,54,51.58333333,4
72,2015-02-22,47,52,49.33333333,5
73,2015-02-23,46,52,49.08333333,6
74,2015-02-24,47,52,49.16666667,5
75,2015-02-25,48,52,50.16666667,4
76,2015-02-26,52,53,52.29166667,1
77,2015-02-27,51,52,51.66666667,1
78,2015-02-28,49,54,51.5,5
79,2015-03-01,45,50,48.33333333,5
80,2015-03-02,48,53,50.16666667,5
81,2015-03-03,47,52,49.5,5
82,2015-03-04,44,51,47.41666667,7
83,2015-03-05,46,52,48.625,6
84,2015-03-06,47,54,50.16666667,7
