imb_id,rearing_year,host_plant,overall_survival,stage,duration,start,end,survival
13BR001,2013,BRRA,Y,second,4,2013-06-13T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13BR001,2013,BRRA,Y,third,5,2013-06-17T00:00:00Z,2013-06-22T00:00:00Z,TRUE
13BR002,2013,BRRA,Y,first,5,2013-06-12T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13BR002,2013,BRRA,Y,second,4,2013-06-17T00:00:00Z,2013-06-21T00:00:00Z,TRUE
13BR003a,2013,BRRA,Y,first,4,2013-06-11T00:00:00Z,2013-06-15T00:00:00Z,TRUE
13BR003a,2013,BRRA,Y,second,4,2013-06-15T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13BR003b,2013,BRRA,Y,first,4,2013-06-12T00:00:00Z,2013-06-16T00:00:00Z,TRUE
13BR003b,2013,BRRA,Y,second,3,2013-06-16T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13BR004,2013,BRRA,Y,second,4,2013-06-13T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI001,2013,SIAL,Y,first,6,2013-06-11T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI002,2013,SIAL,Y,second,4,2013-06-15T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI004,2013,SIAL,Y,first,4,2013-06-15T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI005,2013,SIAL,N,first,3,2013-06-16T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI005,2013,SIAL,N,second,NA,2013-06-19T00:00:00Z,NA,FALSE
13SI006,2013,SIAL,Y,third,4,2013-06-17T00:00:00Z,2013-06-21T00:00:00Z,TRUE
13SI007,2013,SIAL,Y,first,4,2013-06-15T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI008,2013,SIAL,Y,third,4,2013-06-14T00:00:00Z,2013-06-18T00:00:00Z,TRUE
13SI008,2013,SIAL,Y,fourth,1,2013-06-18T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI008,2013,SIAL,Y,fifth,6,2013-06-19T00:00:00Z,2013-06-25T00:00:00Z,TRUE
13SI009,2013,SIAL,Y,second,7,2013-06-12T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI010,2013,SIAL,Y,first,4,2013-06-13T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI011,2013,SIAL,Y,first,5,2013-06-12T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI011,2013,SIAL,Y,second,2,2013-06-17T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI012,2013,SIAL,Y,first,5,2013-06-12T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI013,2013,SIAL,Y,second,5,2013-06-12T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI014,2013,SIAL,NA,first,3,2013-06-12T00:00:00Z,2013-06-15T00:00:00Z,TRUE
13SI014,2013,SIAL,NA,second,2,2013-06-15T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI014,2013,SIAL,NA,third,2,2013-06-17T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI015,2013,SIAL,Y,first,4,2013-06-13T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI015,2013,SIAL,Y,second,2,2013-06-17T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI016,2013,SIAL,Y,second,2,2013-06-15T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI016,2013,SIAL,Y,third,2,2013-06-17T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI017,2013,SIAL,Y,third,1,2013-06-16T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI018,2013,SIAL,NA,first,4,2013-06-13T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI018,2013,SIAL,NA,second,2,2013-06-17T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI021,2013,SIAL,Y,first,6,2013-06-13T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI022,2013,SIAL,Y,fourth,1,2013-06-16T00:00:00Z,2013-06-17T00:00:00Z,TRUE
13SI022,2013,SIAL,Y,fifth,5,2013-06-17T00:00:00Z,2013-06-22T00:00:00Z,TRUE
13SI023,2013,SIAL,Y,second,6,2013-06-12T00:00:00Z,2013-06-18T00:00:00Z,TRUE
13SI023,2013,SIAL,Y,third,1,2013-06-18T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI024,2013,SIAL,Y,first,5,2013-06-14T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI025,2013,SIAL,Y,third,2,2013-06-17T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI025,2013,SIAL,Y,fourth,2,2013-06-19T00:00:00Z,2013-06-21T00:00:00Z,TRUE
13SI025,2013,SIAL,Y,fifth,4,2013-06-21T00:00:00Z,2013-06-25T00:00:00Z,TRUE
13SI028,2013,SIAL,Y,first,4,2013-06-15T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI030,2013,SIAL,N,first,5,2013-06-14T00:00:00Z,2013-06-19T00:00:00Z,TRUE
13SI030,2013,SIAL,N,second,NA,2013-06-19T00:00:00Z,NA,FALSE
13SI031,2013,SIAL,Y,first,3,2013-06-15T00:00:00Z,2013-06-18T00:00:00Z,TRUE
14BR001,2014,BRRA,Y,second,3,2014-06-06T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14BR001,2014,BRRA,Y,third,2,2014-06-09T00:00:00Z,2014-06-11T00:00:00Z,TRUE
14BR001,2014,BRRA,Y,fourth,7,2014-06-11T00:00:00Z,2014-06-18T00:00:00Z,TRUE
14BR001,2014,BRRA,Y,fifth,6,2014-06-18T00:00:00Z,2014-06-24T00:00:00Z,TRUE
14BR001,2014,BRRA,Y,pupa,336,2014-06-24T00:00:00Z,2015-05-26T00:00:00Z,TRUE
14BR002,2014,BRRA,Y,second,2,2014-06-06T00:00:00Z,2014-06-08T00:00:00Z,TRUE
14BR002,2014,BRRA,Y,third,2,2014-06-08T00:00:00Z,2014-06-10T00:00:00Z,TRUE
14BR002,2014,BRRA,Y,fourth,12,2014-06-10T00:00:00Z,2014-06-22T00:00:00Z,TRUE
14BR002,2014,BRRA,Y,fifth,2,2014-06-22T00:00:00Z,2014-06-24T00:00:00Z,TRUE
14BR002,2014,BRRA,Y,pupa,347,2014-06-24T00:00:00Z,2015-06-06T00:00:00Z,TRUE
14BR003,2014,BRRA,Y,fifth,5,2014-06-04T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14BR003,2014,BRRA,Y,pupa,363,2014-06-09T00:00:00Z,2015-06-07T00:00:00Z,TRUE
14BR004,2014,BRRA,Y,third,2,2014-06-06T00:00:00Z,2014-06-08T00:00:00Z,TRUE
14BR004,2014,BRRA,Y,fourth,3,2014-06-08T00:00:00Z,2014-06-11T00:00:00Z,TRUE
14BR004,2014,BRRA,Y,fifth,9,2014-06-11T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR004,2014,BRRA,Y,pupa,364,2014-06-20T00:00:00Z,2015-06-19T00:00:00Z,TRUE
14BR005,2014,BRRA,Y,third,1,2014-06-06T00:00:00Z,2014-06-07T00:00:00Z,TRUE
14BR005,2014,BRRA,Y,fourth,4,2014-06-07T00:00:00Z,2014-06-11T00:00:00Z,TRUE
14BR005,2014,BRRA,Y,fifth,9,2014-06-11T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR005,2014,BRRA,Y,pupa,346,2014-06-20T00:00:00Z,2015-06-01T00:00:00Z,TRUE
14BR006,2014,BRRA,Y,fourth,1,2014-06-06T00:00:00Z,2014-06-07T00:00:00Z,TRUE
14BR006,2014,BRRA,Y,fifth,5,2014-06-07T00:00:00Z,2014-06-12T00:00:00Z,TRUE
14BR006,2014,BRRA,Y,pupa,335,2014-06-12T00:00:00Z,2015-05-13T00:00:00Z,TRUE
14BR007,2014,BRRA,Y,third,1,2014-06-05T00:00:00Z,2014-06-06T00:00:00Z,TRUE
14BR007,2014,BRRA,Y,fourth,4,2014-06-06T00:00:00Z,2014-06-10T00:00:00Z,TRUE
14BR007,2014,BRRA,Y,fifth,7,2014-06-10T00:00:00Z,2014-06-17T00:00:00Z,TRUE
14BR007,2014,BRRA,Y,pupa,345,2014-06-17T00:00:00Z,2015-05-28T00:00:00Z,TRUE
14BR008,2014,BRRA,Y,fourth,3,2014-06-06T00:00:00Z,2014-06-09T00:00:00Z,TRUE
14BR008,2014,BRRA,Y,fifth,7,2014-06-09T00:00:00Z,2014-06-16T00:00:00Z,TRUE
14BR008,2014,BRRA,Y,pupa,344,2014-06-16T00:00:00Z,2015-05-26T00:00:00Z,TRUE
14BR009,2014,BRRA,Y,third,2,2014-06-06T00:00:00Z,2014-06-08T00:00:00Z,TRUE
14BR009,2014,BRRA,Y,fourth,4,2014-06-08T00:00:00Z,2014-06-12T00:00:00Z,TRUE
14BR009,2014,BRRA,Y,fifth,9,2014-06-12T00:00:00Z,2014-06-21T00:00:00Z,TRUE
14BR009,2014,BRRA,Y,pupa,345,2014-06-21T00:00:00Z,2015-06-01T00:00:00Z,TRUE
14BR011,2014,BRRA,Y,fourth,1,2014-06-06T00:00:00Z,2014-06-07T00:00:00Z,TRUE
14BR011,2014,BRRA,Y,fifth,5,2014-06-07T00:00:00Z,2014-06-12T00:00:00Z,TRUE
14BR011,2014,BRRA,Y,pupa,337,2014-06-12T00:00:00Z,2015-05-15T00:00:00Z,TRUE
14BR012,2014,BRRA,Y,second,6,2014-06-10T00:00:00Z,2014-06-16T00:00:00Z,TRUE
14BR012,2014,BRRA,Y,third,6,2014-06-16T00:00:00Z,2014-06-22T00:00:00Z,TRUE
14BR012,2014,BRRA,Y,fourth,4,2014-06-22T00:00:00Z,2014-06-26T00:00:00Z,TRUE
14BR012,2014,BRRA,Y,fifth,7,2014-06-26T00:00:00Z,2014-07-03T00:00:00Z,TRUE
14BR012,2014,BRRA,Y,pupa,350,2014-07-03T00:00:00Z,2015-06-18T00:00:00Z,TRUE
14BR013,2014,BRRA,Y,fifth,9,2014-06-11T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR015,2014,BRRA,Y,second,2,2014-06-10T00:00:00Z,2014-06-12T00:00:00Z,TRUE
14BR015,2014,BRRA,Y,third,8,2014-06-12T00:00:00Z,2014-06-20T00:00:00Z,TRUE
14BR015,2014,BRRA,Y,fourth,5,2014-06-20T00:00:00Z,2014-06-25T00:00:00Z,TRUE
14BR015,2014,BRRA,Y,fifth,6,2014-06-25T00:00:00Z,2014-07-01T00:00:00Z,TRUE
