imb_id,rearing_year,host_plant,collection_stage,sex,stage,duration,start,end,degree_days
20BR001,2020,BRRA,egg,M,first,8,0,8,27.418162238477834
20BR001,2020,BRRA,egg,M,second,4,8,12,13.517592592592592
20BR001,2020,BRRA,egg,M,third,4,12,16,16.01094487344487
20BR001,2020,BRRA,egg,M,fourth,4,16,20,13.726000457875456
20BR001,2020,BRRA,egg,M,fifth,8,20,28,35.37632348833962
20BR001,2020,BRRA,egg,M,pupa,310,28,338,579.9869385654613
20BR002,2020,BRRA,egg,M,first,5,0,5,21.044463825779417
20BR002,2020,BRRA,egg,M,second,5,5,10,13.785114331723028
20BR002,2020,BRRA,egg,M,third,4,10,14,14.950362862862862
20BR002,2020,BRRA,egg,M,fourth,5,14,19,17.914889346764344
20BR002,2020,BRRA,egg,M,fifth,10,19,29,45.746785026801156
20BR002,2020,BRRA,egg,M,pupa,337,29,366,603.6876742040599
20BR003,2020,BRRA,egg,F,first,5,0,5,21.59508494379184
20BR003,2020,BRRA,egg,F,second,4,5,9,10.74679524340394
20BR003,2020,BRRA,egg,F,third,5,9,14,16.319807307307308
20BR003,2020,BRRA,egg,F,fourth,4,14,18,14.918236540111538
20BR003,2020,BRRA,egg,F,fifth,9,18,27,34.894913231929365
20BR003,2020,BRRA,egg,F,pupa,335,27,362,606.6770816884674
20BR004,2020,BRRA,egg,M,first,7,0,7,25.82046373167063
20BR004,2020,BRRA,egg,M,second,4,7,11,10.74679524340394
20BR004,2020,BRRA,egg,M,third,4,11,15,14.049537037037037
20BR004,2020,BRRA,egg,M,fourth,5,15,20,18.28073654011154
20BR004,2020,BRRA,egg,M,fifth,9,20,29,34.894913231929365
20BR004,2020,BRRA,egg,M,pupa,312,29,341,586.489182155205
20BR005,2020,BRRA,egg,NA,first,7,0,7,25.111019381334977
20BR005,2020,BRRA,egg,NA,second,2,7,9,8.38888888888889
20BR005,2020,BRRA,egg,NA,third,5,9,14,17.800362862862862
20BR005,2020,BRRA,egg,NA,fourth,4,14,18,15.324889346764344
20BR005,2020,BRRA,egg,NA,fifth,8,18,26,32.6157465652627
20BR005,2020,BRRA,egg,NA,death,327,26,353,600.7581427779155
20BR006,2020,BRRA,egg,NA,first,5,0,5,21.044463825779417
20BR006,2020,BRRA,egg,NA,second,4,5,9,11.381410628019324
