imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
13BR006,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-05,NA,NA,NA,NA,NA
13BR007,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR008,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR009,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-08,NA,NA,NA,NA,NA
13BR010,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-07,NA,NA,NA,NA,NA
13BR011,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-03,NA,NA,NA,NA,NA
13BR012,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-04,NA,NA,NA,NA,NA
13BR013,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-08,NA,NA,NA,NA,NA
13BR014,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-02,NA,NA,NA,NA,NA
13BR015,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR016,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR017,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR018,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR019,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR020,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR021,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR022,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR023,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR024,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR025,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR026,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR027,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR028,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR029,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR030,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR031,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13BR032,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
