imb_id,rearing_year,host_plant,collection_stage,sex,stage,duration,start,end,mean_temp,stage2,after_2018
24BR002,2024,BRRA,egg,NA,pupa,327,30,357,13.214355786677558,death,TRUE
24BR003,2024,BRRA,egg,NA,pupa,327,28,355,13.232606801550295,death,TRUE
24BR004,2024,BRRA,egg,NA,pupa,327,29,356,13.232606801550295,death,TRUE
24BR005,2024,BRRA,egg,NA,pupa,327,28,355,13.248877731064846,death,TRUE
24BR006,2024,BRRA,egg,NA,pupa,327,28,355,13.275327252468978,death,TRUE
24BR007,2024,BRRA,egg,NA,pupa,327,30,357,13.248877731064846,death,TRUE
24BR008,2024,BRRA,egg,NA,pupa,327,30,357,13.248877731064846,death,TRUE
24BR009,2024,BRRA,egg,NA,pupa,327,28,355,13.262291689981632,death,TRUE
24BR010,2024,BRRA,egg,NA,pupa,327,29,356,13.306214053620964,death,TRUE
24BR011,2024,BRRA,egg,NA,pupa,327,28,355,13.27930986745278,death,TRUE
24BR012,2024,BRRA,egg,NA,pupa,327,29,356,13.306214053620964,death,TRUE
24BR013,2024,BRRA,egg,NA,pupa,327,29,356,13.306214053620964,death,TRUE
24BR014,2024,BRRA,egg,NA,pupa,327,30,357,13.29912032343691,death,TRUE
24BR016,2024,BRRA,egg,NA,pupa,327,29,356,13.304822056686017,death,TRUE
24BR017,2024,BRRA,egg,NA,pupa,327,29,356,13.304822056686017,death,TRUE
24BR018,2024,BRRA,egg,NA,pupa,327,30,357,13.306214053620964,death,TRUE
24BR019,2024,BRRA,egg,NA,pupa,327,28,355,13.288852635275845,death,TRUE
24BR020,2024,BRRA,egg,NA,pupa,327,29,356,13.304822056686017,death,TRUE
24BR021,2024,BRRA,egg,NA,pupa,327,29,356,13.288852635275845,death,TRUE
24BR022,2024,BRRA,egg,NA,pupa,327,29,356,13.306214053620964,death,TRUE
24BR023,2024,BRRA,egg,NA,pupa,327,31,358,13.273032260319946,death,TRUE
24BR024,2024,BRRA,egg,NA,pupa,327,32,359,13.270126159367598,death,TRUE
24BR025,2024,BRRA,egg,NA,pupa,327,32,359,13.27183471152624,death,TRUE
24BR026,2024,BRRA,egg,NA,pupa,327,30,357,13.273032260319946,death,TRUE
24BR027,2024,BRRA,egg,NA,pupa,327,28,355,13.280984909691602,death,TRUE
24BR028,2024,BRRA,egg,NA,pupa,327,30,357,13.280984909691602,death,TRUE
24BR029,2024,BRRA,egg,NA,pupa,327,26,353,13.280984909691602,death,TRUE
24BR030,2024,BRRA,egg,NA,pupa,327,27,354,13.280984909691602,death,TRUE
24BR032,2024,BRRA,egg,NA,pupa,327,28,355,13.28490039817912,death,TRUE
24BR033,2024,BRRA,egg,NA,pupa,327,29,356,13.280984909691602,death,TRUE
24BR034,2024,BRRA,egg,NA,pupa,327,29,356,13.27409683213502,death,TRUE
24BR035,2024,BRRA,egg,NA,pupa,327,28,355,13.280984909691602,death,TRUE
24BR036,2024,BRRA,egg,NA,pupa,327,29,356,13.28490039817912,death,TRUE
24BR037,2024,BRRA,egg,NA,pupa,327,29,356,13.28875518311997,death,TRUE
24BR038,2024,BRRA,egg,NA,pupa,327,31,358,13.27409683213502,death,TRUE
24BR039,2024,BRRA,egg,NA,pupa,327,29,356,13.27183471152624,death,TRUE
24BR040,2024,BRRA,egg,NA,pupa,327,29,356,13.27409683213502,death,TRUE
24BR041,2024,BRRA,egg,NA,pupa,327,29,356,13.280984909691602,death,TRUE
24BR042,2024,BRRA,egg,NA,pupa,327,27,354,13.28490039817912,death,TRUE
24BR043,2024,BRRA,egg,NA,pupa,327,31,358,13.28490039817912,death,TRUE
24BR044,2024,BRRA,egg,NA,pupa,327,29,356,13.27409683213502,death,TRUE
24BR045,2024,BRRA,egg,NA,pupa,327,30,357,13.27183471152624,death,TRUE
24BR046,2024,BRRA,egg,NA,pupa,327,29,356,13.280984909691602,death,TRUE
24BR047,2024,BRRA,egg,NA,pupa,327,29,356,13.304927729954636,death,TRUE
24BR048,2024,BRRA,egg,NA,pupa,327,27,354,13.325276516181395,death,TRUE
24BR049,2024,BRRA,egg,NA,pupa,327,26,353,13.338339408535983,death,TRUE
24BR051,2024,BRRA,egg,NA,pupa,327,24,351,13.343658751566524,death,TRUE
24BR052,2024,BRRA,egg,NA,pupa,327,27,354,13.330870244607576,death,TRUE
24BR053,2024,BRRA,egg,NA,pupa,327,25,352,13.343658751566524,death,TRUE
