imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,overall_survival,stage_at_death,release_year,eclosure_date,release_date,sex
13BR001,2013,BRRA,2013-06-10,first,NA,2013-06-13,2013-06-17,2013-06-22,NA,2013-06-26,Y,NA,NA,NA,NA,NA
13BR002,2013,BRRA,2013-06-11,egg,2013-06-12,2013-06-17,2013-06-21,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13BR003a,2013,BRRA,2013-06-10,egg,2013-06-11,2013-06-15,2013-06-19,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13BR003b,2013,BRRA,2013-06-11,egg,2013-06-12,2013-06-16,2013-06-19,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13BR004,2013,BRRA,2013-06-10,first,NA,2013-06-13,2013-06-17,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13BR006,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-05,Y,NA,NA,NA,NA,NA
13BR009,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-08,Y,NA,NA,NA,NA,NA
13BR010,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-07,Y,NA,NA,NA,NA,NA
13BR011,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-03,Y,NA,NA,NA,NA,NA
13BR012,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-04,Y,NA,NA,NA,NA,NA
13BR013,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-08,Y,NA,NA,NA,NA,NA
13BR014,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-02,Y,NA,NA,NA,NA,NA
13BR039,2013,BRRA,NA,NA,NA,NA,NA,NA,NA,2013-07-05,Y,NA,NA,NA,NA,NA
13SI001,2013,SIAL,2013-06-08,egg,2013-06-11,2013-06-17,NA,NA,NA,2013-07-01,Y,NA,NA,NA,NA,NA
13SI002,2013,SIAL,2013-06-11,first,NA,2013-06-15,2013-06-19,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13SI004,2013,SIAL,2013-06-11,egg,2013-06-15,2013-06-19,NA,NA,NA,2013-07-04,Y,NA,NA,NA,NA,NA
13SI006,2013,SIAL,2013-06-11,second,NA,NA,2013-06-17,2013-06-21,NA,2013-06-25,Y,NA,NA,NA,NA,NA
13SI007,2013,SIAL,2013-06-11,egg,2013-06-15,2013-06-19,NA,NA,NA,2013-06-26,Y,NA,NA,NA,NA,NA
13SI008,2013,SIAL,2013-06-11,second,NA,NA,2013-06-14,2013-06-18,2013-06-19,2013-06-25,Y,NA,NA,NA,NA,NA
13SI009,2013,SIAL,2013-06-11,first,NA,2013-06-12,2013-06-19,NA,NA,2013-06-27,Y,NA,NA,NA,NA,NA
13SI010,2013,SIAL,2013-06-11,egg,2013-06-13,2013-06-17,NA,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13SI011,2013,SIAL,2013-06-11,egg,2013-06-12,2013-06-17,2013-06-19,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13SI012,2013,SIAL,2013-06-11,egg,2013-06-12,2013-06-17,NA,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13SI013,2013,SIAL,2013-06-11,first,NA,2013-06-12,2013-06-17,NA,NA,2013-06-29,Y,NA,NA,NA,NA,NA
13SI014,2013,SIAL,2013-06-11,egg,2013-06-12,2013-06-15,2013-06-17,2013-06-19,NA,2013-06-29,NA,NA,NA,NA,NA,NA
